Sat. Apr. 19, 2014             LANDSAT 5                 Time: 07:02
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10997128            Path/Row: 224 / 063

L0R Reference Image: L51CUB1088227120102_HDF.141091118
Acquisition Date: Aug 14, 1988

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
224   063   2001-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240630001   -3.827798  -49.655242     1.352      -1.466    -1.586    -1.221    -1.781
2240630006   -3.752937  -49.505185    49.305       1.526    -2.963     1.937    -2.711
2240630009   -3.880287  -49.564393    47.345       2.440    -1.654     2.653    -1.285
2240630011   -3.800553  -49.585865    63.374      -3.921    -5.818    -3.040    -6.320
2240630015   -3.751841  -49.665623   -11.062       1.206     6.593     0.243     6.697
2240630017   -3.815551  -49.631760   -17.487       2.395    -4.993     3.090    -4.595
2240630019   -4.195445  -50.013283    94.764       2.425     3.318     1.920     3.632
2240630020   -4.371367  -49.424581    50.410       3.852     0.792     3.696     1.339
2240630021   -3.828191  -49.563130    45.215       3.674    -0.822     3.753    -0.284
2240630022   -3.832717  -49.677925   129.181      -1.525    -2.873    -1.094    -3.062
2240630025   -3.783637  -49.529441    46.928       4.404    -5.907     5.208    -5.209
2240630027   -3.646866  -49.687116     6.651      -2.364    -2.058    -2.042    -2.376
2240630028   -3.906065  -49.734544    62.924      -2.239     4.870    -2.917     4.495
2240630029   -3.966521  -49.538310    46.281      -0.056     2.156    -0.366     2.125
2240630030   -4.416320  -49.386105    55.489       1.620     0.964     1.463     1.187
2240630033   -3.907840  -49.835854    68.161      -3.744    -0.805    -3.587    -1.336
2240630037   -3.965084  -49.827669    45.000       2.905    -0.610     2.962    -0.185
2240630039   -4.167112  -49.745761    71.353      -4.355     3.634    -4.832     2.967
2240630040   -4.014018  -50.114840    97.835       1.277    -1.006     1.408    -0.811
2240630045   -3.970645  -49.926012    55.425      -3.209    -2.923    -2.753    -3.354
2240630046   -4.151387  -50.164691   142.711       4.736     5.419     3.903     6.042
