==============================================================================
==============================================================================
 Apr. 19 2014                  LANDSAT 5                       Time: 12:12
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404185054_00002                          Path / Row - 224 / 63
Reference Image: L51CUB1088227120102_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.5%
Rank   2 --  1.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630248   -3.49217    -50.48727     0.02     -0.03     0.04     1 
2240630254   -3.49207    -50.32197     0.03     -0.01     0.03     1 
2240630321   -3.51717    -50.54235     0.03     -0.05     0.06     1 
2240630324   -3.51712    -50.45970    -0.19     -0.22     0.29     1 
2240630326   -3.51709    -50.40460    -0.06     -0.16     0.17     1 
2240630329   -3.51703    -50.32196    -0.05     -0.11     0.13     1 
2240630332   -3.51697    -50.23931    -0.01     -0.20     0.20     1 
2240630395   -3.54215    -50.56989    -0.28     -0.41     0.49     1 
2240630396   -3.54214    -50.54234    -0.08     -0.21     0.23     1 
2240630398   -3.54211    -50.48724    -0.27     -0.39     0.48     1 
2240630399   -3.54209    -50.45969    -0.17     -0.28     0.33     1 
2240630403   -3.54202    -50.34949    -0.17     -0.32     0.37     1 
2240630404   -3.54200    -50.32194    -0.20     -0.22     0.30     1 
2240630405   -3.54198    -50.29439    -0.08     -0.22     0.24     1 
2240630406   -3.54196    -50.26684    -0.06     -0.12     0.13     1 
2240630408   -3.54191    -50.21174    -0.12     -0.08     0.14     1 
2240630469   -3.56713    -50.59743    -0.30     -0.39     0.49     1 
2240630470   -3.56712    -50.56988    -0.12     -0.26     0.29     1 
2240630471   -3.56710    -50.54233     0.04     -0.08     0.10     1 
2240630474   -3.56706    -50.45967    -0.13     -0.07     0.14     1 
2240630477   -3.56701    -50.37702    -0.29     -0.38     0.47     1 
2240630479   -3.56697    -50.32192    -0.20     -0.38     0.43     1 
2240630480   -3.56695    -50.29437    -0.22     -0.36     0.42     1 
2240630481   -3.56693    -50.26682    -0.17     -0.24     0.29     1 
2240630482   -3.56690    -50.23927    -0.18     -0.24     0.30     1 
2240630483   -3.56688    -50.21172    -0.14     -0.19     0.23     1 
2240630484   -3.56686    -50.18417    -0.14     -0.22     0.26     1 
2240630486   -3.56681    -50.12907    -0.30     -0.34     0.45     1 
2240630493   -3.56660    -49.93623     0.16      0.08     0.18     1 
2240630496   -3.56650    -49.85359     0.05     -0.15     0.16     1 
2240630497   -3.56647    -49.82604    -0.30     -0.00     0.30     1 
2240630498   -3.56643    -49.79850    -0.22     -0.06     0.23     1 
2240630499   -3.56639    -49.77095    -0.41      0.15     0.43     1 
2240630544   -3.59210    -50.59742    -0.29     -0.46     0.54     2 
2240630545   -3.59209    -50.56987    -0.19     -0.31     0.37     1 
2240630546   -3.59207    -50.54232     0.01     -0.01     0.02     1 
2240630549   -3.59203    -50.45966    -0.28     -0.33     0.43     1 
2240630550   -3.59201    -50.43211    -0.21     -0.31     0.37     1 
2240630551   -3.59199    -50.40456    -0.22     -0.27     0.35     1 
2240630552   -3.59198    -50.37700    -0.27     -0.26     0.37     1 
2240630553   -3.59196    -50.34945    -0.17     -0.18     0.24     1 
2240630554   -3.59194    -50.32190    -0.13     -0.16     0.21     1 
2240630555   -3.59192    -50.29435    -0.07     -0.06     0.09     1 
2240630556   -3.59189    -50.26680    -0.25     -0.26     0.36     1 
2240630557   -3.59187    -50.23925    -0.16     -0.20     0.26     1 
2240630558   -3.59185    -50.21170    -0.24     -0.32     0.40     1 
2240630560   -3.59180    -50.15660    -0.27     -0.36     0.45     1 
2240630562   -3.59174    -50.10150    -0.13     -0.21     0.25     1 
2240630564   -3.59169    -50.04640    -0.15     -0.27     0.31     1 
2240630567   -3.59160    -49.96375    -0.20     -0.27     0.33     1 
2240630569   -3.59153    -49.90865     0.07     -0.31     0.32     1 
2240630573   -3.59140    -49.79846    -0.11     -0.15     0.19     1 
