Result Number,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Full or Partial Scene,Nadir/Off Nadir,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
1,LC82240632015237LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150825130408_20150825144325.02,LT8BPF20150825130014_20150825134613.03,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/08/25,2015:237:13:29:35.6014130,2015:237:13:30:07.3714100,9,93.67,58.20590364,61.48871895,0,0,-1,-1,Y,LPGS_2.5.1,4°20'21.26"S,50°02'28.36"W,3°17'28.18"S,50°41'41.75"W,3°39'04.10"S,49°01'00.66"W,5°23'36.38"S,49°23'10.79"W,5°01'47.89"S,51°04'05.88"W,-4.33924,-50.04121,-3.29116,-50.69493,-3.65114,-49.01685,-5.39344,-49.38633,-5.02997,-51.0683,LC82240632015237LGN00,LC82240632015237LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015237LGN00
2,LC82240632015221LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150809130400_20150809134437.01,LT8BPF20150809130006_20150809134605.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/09,2015:221:13:29:27.8200000,2015:221:13:29:59.5899960,9,42.99,54.93002703,54.2283717,6.344,6.541,85,2,Y,LPGS_2.5.1,4°20'20.94"S,50°02'09.60"W,3°17'27.74"S,50°41'22.81"W,3°39'03.82"S,49°00'41.83"W,5°23'36.20"S,49°22'52.18"W,5°01'47.57"S,51°03'47.16"W,-4.33915,-50.036,-3.29104,-50.68967,-3.65106,-49.01162,-5.39339,-49.38116,-5.02988,-51.0631,LC82240632015221LGN00,LC82240632015221LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015221LGN00
3,LC82240632015205LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150724130357_20150724134434.01,LT8BPF20150724130003_20150724134641.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/24,2015:205:13:29:24.4532940,2015:205:13:29:56.2232910,9,26.92,52.4178781,48.92195051,7.23,6.287,84,2,Y,LPGS_2.5.1,4°20'20.29"S,50°03'08.42"W,3°17'27.06"S,50°42'21.46"W,3°39'03.13"S,49°01'40.91"W,5°23'35.63"S,49°23'51.32"W,5°01'46.99"S,51°04'45.84"W,-4.33897,-50.05234,-3.29085,-50.70596,-3.65087,-49.02803,-5.39323,-49.39759,-5.02972,-51.0794,LC82240632015205LGN00,LC82240632015205LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015205LGN00
4,LC82240632015189LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150708130350_20150708134427.01,LT8BPF20150708125956_20150708134523.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/08,2015:189:13:29:17.7769660,2015:189:13:29:49.5469620,9,74.09,51.0396849,45.30367541,10.259,9.287,42,2,Y,LPGS_2.5.1,4°20'21.48"S,50°03'27.58"W,3°17'28.32"S,50°42'40.97"W,3°39'04.68"S,49°01'59.63"W,5°23'36.92"S,49°24'10.08"W,5°01'48.04"S,51°05'05.42"W,-4.3393,-50.05766,-3.2912,-50.71138,-3.6513,-49.03323,-5.39359,-49.4028,-5.03001,-51.08484,LC82240632015189LGN00,LC82240632015189LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015189LGN00
5,LC82240632015173LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150622130343_20150622134417.01,LT8BPF20150622125946_20150622134512.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/22,2015:173:13:29:07.7233200,2015:173:13:29:39.4933160,9,63.63,50.92214331,43.43916458,7.527,6.9,32,2,Y,LPGS_2.5.1,4°20'20.33"S,50°02'48.44"W,3°17'27.10"S,50°42'01.66"W,3°39'03.46"S,49°01'20.50"W,5°23'35.66"S,49°23'31.09"W,5°01'46.70"S,51°04'26.26"W,-4.33898,-50.04679,-3.29086,-50.70046,-3.65096,-49.02236,-5.39324,-49.39197,-5.02964,-51.07396,LC82240632015173LGN00,LC82240632015173LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015173LGN00
6,LC82240632015157LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150606130336_20150606134410.01,LT8BPF20150606125939_20150606134505.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,0,LGN,DAY,L1T,OLI_TIRS,2015/06/06,2015:157:13:29:00.4521020,2015:157:13:29:32.2220980,9,13.2,51.98871316,43.59273774,6.244,5.663,137,2,Y,LPGS_2.5.1,4°20'21.48"S,50°03'13.79"W,3°17'28.28"S,50°42'27.32"W,3°39'04.82"S,49°01'45.66"W,5°23'36.82"S,49°23'56.26"W,5°01'47.71"S,51°04'51.92"W,-4.3393,-50.05383,-3.29119,-50.70759,-3.65134,-49.02935,-5.39356,-49.39896,-5.02992,-51.08109,LC82240632015157LGN00,LC82240632015157LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015157LGN00
7,LC82240632015141LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150521130327_20150521134401.01,LT8BPF20150521125933_20150521134454.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1GT,OLI_TIRS,2015/05/21,2015:141:13:28:51.6322120,2015:141:13:29:23.4022080,9,78.61,53.93568031,46.20651777,0,0,-1,-1,Y,LPGS_2.5.1,4°20'19.79"S,50°03'20.95"W,3°17'26.52"S,50°42'34.27"W,3°39'03.13"S,49°01'52.79"W,5°23'35.09"S,49°24'03.53"W,5°01'45.91"S,51°04'59.05"W,-4.33883,-50.05582,-3.2907,-50.70952,-3.65087,-49.03133,-5.39308,-49.40098,-5.02942,-51.08307,LC82240632015141LGN00,LC82240632015141LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015141LGN00
8,LC82240632015125LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150505130333_20150505134407.01,LT8BPF20150505125939_20150505134500.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/05,2015:125:13:28:57.3611970,2015:125:13:29:29.1311930,9,64.94,56.32546434,51.66552405,7.966,9.444,28,2,Y,LPGS_2.5.0,4°20'21.23"S,50°03'57.31"W,3°17'29.90"S,50°43'12.47"W,3°39'01.19"S,49°02'32.28"W,5°23'34.58"S,49°24'38.16"W,5°01'50.77"S,51°05'32.39"W,-4.33923,-50.06592,-3.29164,-50.72013,-3.65033,-49.0423,-5.39294,-49.4106,-5.03077,-51.09233,LC82240632015125LGN00,LC82240632015125LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015125LGN00
9,LC82240632015109LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150419130346_20150419134421.01,LT8BPF20150419125952_20150419134513.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/19,2015:109:13:29:11.0344140,2015:109:13:29:42.8044110,9,56.12,58.55056605,60.27189277,6.949,5.784,-1,2,Y,LPGS_2.4.0,4°20'20.08"S,50°04'33.49"W,3°17'28.93"S,50°43'48.76"W,3°39'00.50"S,49°03'07.81"W,5°23'33.76"S,49°25'13.80"W,5°01'49.58"S,51°06'08.71"W,-4.33891,-50.07597,-3.29137,-50.73021,-3.65014,-49.05217,-5.39271,-49.4205,-5.03044,-51.10242,LC82240632015109LGN00,LC82240632015109LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015109LGN00
10,LC82240632015093LGN00, 224, 063, 224, 063,FULL,NADIR,NOMINAL,LO8BPF20150403130346_20150403134932.01,LT8BPF20150403125952_20150403135026.01,L8CPF20150401_20150630.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/04/03,2015:093:13:29:11.0165070,2015:093:13:29:42.7865030,9,60.13,59.94605512,71.59027408,5.795,5.978,-1,2,Y,LPGS_2.4.0,4°20'20.04"S,50°01'54.62"W,3°17'28.57"S,50°41'10.46"W,3°39'00.65"S,49°00'28.62"W,5°23'33.50"S,49°22'34.86"W,5°01'48.86"S,51°03'30.67"W,-4.3389,-50.03184,-3.29127,-50.68624,-3.65018,-49.00795,-5.39264,-49.37635,-5.03024,-51.05852,LC82240632015093LGN00,LC82240632015093LGN00,http://earthexplorer.usgs.gov/download/options/4923/LC82240632015093LGN00
